harp_timestamp,odor1,odor2,poke
14965.599424,1,0,0
14966.601184,1,0,1
14967.600704,1,0,0
14968.601632,0,1,1
14969.601056,0,1,0
14970.602112,1,0,1
14971.601536,1,0,0
14972.60288,0,1,1
14973.602528,0,1,0
14974.60336,1,0,1
14975.602432,1,0,0
14976.603584,0,1,1
14977.603232,0,1,0
14978.603904,1,0,1
14979.603328,1,0,0
14980.60576,0,1,1
14981.605024,0,1,0
14982.60608,1,0,1
14983.606016,1,0,0
14984.60736,0,1,1
14985.60736,0,1,0
14986.608192,1,0,1
14987.607616,1,0,0
14988.609376,0,1,1
14989.608096,0,1,0
14990.608768,1,0,1
14991.60912,1,0,0
14992.610208,0,1,1
14993.610048,0,1,0
14994.610688,1,0,1
14995.610496,1,0,0
14996.611712,0,1,1
14997.611328,0,1,0
14998.612576,1,0,1
14999.611616,1,0,0
15000.61248,0,1,1
15001.61232,0,1,0
15002.613824,1,0,1
15003.613888,1,0,0
15004.614784,0,1,1
15005.61472,0,1,0
15006.615712,1,0,1
15007.61472,1,0,0
15008.61568,0,1,1
15009.61472,0,1,0
15010.615808,1,0,1
15011.614784,1,0,0
15012.615648,0,1,1
15013.615872,0,1,0
15014.61648,1,0,1
15015.616512,1,0,0
15016.617376,0,1,1
15017.616992,0,1,0
15018.617728,1,0,1
15019.61696,1,0,0
15020.617536,0,1,1
15021.617024,0,1,0
15022.617824,1,0,1
15023.61808,1,0,0
15024.618752,0,1,1
15025.618112,0,1,0
15026.618816,1,0,1
15027.618304,1,0,0
15028.619616,0,1,1
15029.619712,0,1,0
15030.620672,1,0,1
15031.620384,1,0,0
15032.621856,0,1,1
15033.621184,0,1,0
15034.621888,1,0,1
15035.621216,1,0,0
15036.62208,0,1,1
15037.622624,0,1,0
15038.62352,1,0,1
15039.622656,1,0,0
15040.623968,0,1,1
15041.623744,0,1,0
15042.624736,1,0,1
15043.624896,1,0,0
15044.626208,0,1,1
15045.625824,0,1,0
15046.62656,1,0,1
15047.62592,1,0,0
15048.62688,0,1,1
15049.626304,0,1,0
15050.62736,1,0,1
15051.626784,1,0,0
15052.627648,0,1,1
15053.626816,0,1,0
15054.62752,1,0,1
15055.62704,1,0,0
15056.627776,0,1,1
15057.627808,0,1,0
15058.628576,1,0,1
15059.627872,1,0,0
15060.62944,0,1,1
15061.629344,0,1,0
15062.630656,1,0,1
15063.629824,1,0,0
15064.631744,0,1,1
15065.630656,0,1,0
15066.632128,1,0,1
15067.631296,1,0,0
15068.633408,0,1,1
15069.632768,0,1,0
15070.633408,1,0,1
15071.6328,1,0,0
15072.63392,0,1,1
15073.633952,0,1,0
15074.634624,1,0,1
15075.63408,1,0,0
15076.635552,0,1,1
15077.63568,0,1,0
15078.637376,1,0,1
15079.636352,1,0,0
15080.637152,0,1,1
15081.636864,0,1,0
15082.63744,1,0,1
15083.63712,1,0,0
15084.637696,0,1,1
15085.637216,0,1,0
15086.638016,1,0,1
15087.638208,1,0,0
15088.639008,0,1,1
15089.638496,0,1,0
15090.639808,1,0,1
15091.640224,1,0,0
15092.640992,0,1,1
15093.64064,0,1,0
15094.642304,1,0,1
15095.64128,1,0,0
15096.642464,0,1,1
15097.641376,0,1,0
15098.642112,1,0,1
15099.641568,1,0,0
15100.642784,0,1,1
15101.642272,0,1,0
15102.642976,1,0,1
15103.642336,1,0,0
15104.643936,0,1,1
15105.642816,0,1,0
15106.643904,1,0,1
15107.643872,1,0,0
15108.644992,0,1,1
15109.644448,0,1,0
15110.646016,1,0,1
15111.64528,1,0,0
15112.647488,0,1,1
15113.646528,0,1,0
15114.64912,1,0,1
15115.647968,1,0,0
15116.649056,0,1,1
15117.648384,0,1,0
15118.649024,1,0,1
15119.648704,1,0,0
15120.650464,0,1,1
15121.65024,0,1,0
15122.651744,1,0,1
15123.650912,1,0,0
15124.651808,0,1,1
15125.65088,0,1,0
15126.651808,1,0,1
15127.651552,1,0,0
15128.653088,0,1,1
15129.651936,0,1,0
15130.65344,1,0,1
15131.65264,1,0,0
15132.653344,0,1,1
15133.653376,0,1,0
15134.654016,1,0,1
15135.653984,1,0,0
15136.654784,0,1,1
15137.654016,0,1,0
15138.65504,1,0,1
15139.654368,1,0,0
15140.656928,0,1,1
15141.656576,0,1,0
15142.657312,1,0,1
15143.65712,1,0,0
15144.659744,0,1,1
15145.658048,0,1,0
15146.659424,1,0,1
15147.65856,1,0,0
15148.660288,0,1,1
15149.659168,0,1,0
15150.660544,1,0,1
15151.65968,1,0,0
15152.660768,0,1,1
15153.660192,0,1,0
15154.66112,1,0,1
15155.660768,1,0,0
15156.661504,0,1,1
15157.660928,0,1,0
15158.661984,1,0,1
15159.662432,1,0,0
15160.663616,0,1,1
15161.663808,0,1,0
15162.666016,1,0,1
15163.665536,1,0,0
15164.666848,0,1,1
15165.666496,0,1,0
15166.668192,1,0,1
15167.667648,1,0,0
15168.669728,0,1,1
15169.669216,0,1,0
15170.67056,1,0,1
15171.670592,1,0,0
15172.671456,0,1,1
15173.671168,0,1,0
15174.671904,1,0,1
15175.671232,1,0,0
15176.672608,0,1,1
15177.672384,0,1,0
15178.674176,1,0,1
15179.674368,1,0,0
